,nombre,company,cargo,más info,speaker_bio,url_linkedin,url_TW
0,Aaron Cogolludo,Personio,Country Manager Spain,https://www.des-madrid.com/agenda-2021-speakers/aaron-cogolludo/,Aarón Cogolludo is leading Personio’s business growth in Spain as Country Manager. His team’s mission is to enable better organisations among the Spanish SMB’s ecosystem. ,https://www.linkedin.com/in/aaroncogolludo,TW no disponible
1,Adolfo Ramírez Morales,Dinámicas de Transformación,CEO,https://www.des-madrid.com/agenda-2021-speakers/adolfo-ramirez-morales/,Asesor en transformación digital y autor de “Digitalízate o desaparece” (9ª edición).,no disponible,no disponible
2,Adrián Bertol,Esri Spain,Account Executive,https://www.des-madrid.com/agenda-2021-speakers/adrian-bertol/,"My purpose is to guide companies in the process of achieving their goals by obtaining value from data and AI. I work as Account Manager at Esri Spain, specialized in geospatial analytics. I am also founder of Youth AI-Network, an initiative to train and help beginners in data and AI.",https://www.linkedin.com/in/adrianbertol/,TW no disponible
3,Agustín Moro,Telefónica,Director Global Partnerships,https://www.des-madrid.com/agenda-2021-speakers/agustin-moro/,"Agustín is Global Head of Partnerships at Telefónica Open Innovation, which comprises acceleration, business dev. and investment programs in 9 countries. Before, he launched 13 hubs of Wayra throughout Europe and Latin America and worked as counsel for Securities Markets, advising in mergers, acquisitions and Public and Private Offerings.He is an enthusiast of entrepreneurship and advisor to startups and entrepreneurial projects. He is a teacher at different universities and business schools.",https://www.linkedin.com/in/agust%C3%ADn-moro-085b0b10/,https://twitter.com/@gusmoro
4,Agustín Pérez Buendía,Sibbo Ventures,CEO & Founder,https://www.des-madrid.com/agenda-2021-speakers/agustin-perez-buendia/,"Agustin Perez, CEO and Founder of Sibbo, combines the expertise in Digital environment with the business and analytical skills gained as Consultant. He is got a deep knowledge of the spanish programmatic ecosystem with special focus on privacy (with Sibbo CMP) and monetisation due to different header bidding integrations & consultancy projects for tv channels & newspapers.",https://www.linkedin.com/in/agustinperezbuendia/,https://twitter.com/@sibbo_ventures
5,Agustin Pozo Zamora,Nokia,Digital Transformation Global Lead,https://www.des-madrid.com/agenda-2021-speakers/agustin-pozo-zamora/,An exited millennial mindset in a forty-all years old body.,https://www.linkedin.com/in/agustinpozo/,https://twitter.com/@AgustinPozo1970
6,Aída Hernández Pulido,IE Business School,Visiting professor,https://www.des-madrid.com/agenda-2021-speakers/aida-hernandez-pulido/,"Veterana del marketing mix, con amplia experiencia académica y en agencia.",https://www.linkedin.com/in/aidahernandez/,TW no disponible
7,Alberto García,Dentsu,Data & Tech Lead,https://www.des-madrid.com/agenda-2021-speakers/alberto-garcia/,"I´m passionate about technology & innovation and I consider myself an entrepreneur working in a multinational always looking for creating new products and innovative ways to explode technology. I’ve worked with some of the most challenging clients as Coca-Cola, El Corte Ingles, Diageo, Cabify, Decathlon, Samsung or Adidas to develop disruptive awarded projects around activating technology not just in the digital world but in the physical to deliver unique connected experiences.",no disponible,no disponible
8,Alberto García-Lluis Valencia,Freelance,Asesor independiente de Estrategia de Negocios,https://www.des-madrid.com/agenda-2021-speakers/alberto-garcia-lluis-valencia/,,no disponible,no disponible
9,Alberto Iglesias Fraga,EL ESPAÑOL,Subdirector de Disruptores e Innovadores (D+I),https://www.des-madrid.com/agenda-2021-speakers/alberto-iglesias-fraga/,"Alberto Iglesias Fraga es periodista y subdirector del suplemento Disruptores e Innovadores (D+I) publicado en EL ESPAÑOL. Durante más de una década, lleva siguiendo las últimas innovaciones en transformación digital tanto en prensa especializada (Computerworld, CIO, TICbeat…), económica (Business Insider) como generalista (El Mundo, La Razón).",https://www.linkedin.com/in/albertoiglesiasfraga,https://twitter.com/@aiglesiasfraga
10,Alberto Planas,DES | Digital Enterprise Show y NEBEXT,Director General,https://www.des-madrid.com/agenda-2021-speakers/alberto-planas/,,no disponible,no disponible
11,Albin Larsson,Visual Art,Country Manager Spain,https://www.des-madrid.com/agenda-2021-speakers/albin-larsson/,"With more than 10 years of international business development, Albin is now leading Visual Art growth in Spain. Through tech innovation and business driven digital communication we successfully contribute to achieve our customers business goals.",https://www.linkedin.com/in/albin-o-larsson-1536a890/,TW no disponible
